Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,City  Location,Investors Name,InvestmentnType,Amount
819,24-11-2015,Naaptol,Online and TV Shopping Marketplace,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,52000000
821,25-11-2015,EarlySalary.com,Mobile App based Loan disbursement platform,Mumbai,Ashok Agarwal,Seed Funding,1500000
822,25-11-2015,Tooler,On Demand Laundry Services App,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,110000
823,25-11-2015,S Chand,Education Content Provider,New Delhi,IFC Everstone Group,Private Equity,27000000
825,26-11-2015,GoQii,Fitness Tracking Management Solutions,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,13400000
826,26-11-2015,Grofers,Hyper-local Grocery Delivery platform,Gurgaon,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,120000000
827,26-11-2015,Pluss,Hyperlocal healthcare product Delivery Service provider,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,1000000
830,27-11-2015,JustRide,Self Driven Rental Car Platform,Mumbai,,Private Equity,2000000
835,30-11-2015,Baxi,Two-Wheeler Taxi Service,Gurgaon,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia,",Seed Funding,1450000
836,30-11-2015,Superhero Brands,character merchandize sales platform,Mumbai,DSG Consumer Partners,Seed Funding,540000
838,30-11-2015,QikPod,Ecommerce Delivery locker services,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,9000000
841,01-12-2015,CollegeDekho,Online Education Information platform,Jaipur,GirnarSoft,Seed Funding,1000000
844,01-12-2015,Patel Logistics,Transportation & Logistics Platform,Mumbai,Frontline Strategy,Private Equity,5600000
845,01-12-2015,Wigzo,Enterprise Marketing Automation platform,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,500000
847,01-12-2015,Godof Hospitals,Digital Healthcare,New Delhi,Pankaj Gupta,Seed Funding,2000000
848,02-12-2015,RoomsTonite,Last Minute Hotel Booking App,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding,1500000
851,03-12-2015,EasyKhaana,Online Food ordering & Delivery platform,New Delhi,Undisclosed investors,Seed Funding,100000
852,03-12-2015,Shuttl,App based Bus Pooling Services,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,20000000
855,04-12-2015,Applop,On Demand Mobile app developer,Kolkata,GHV Accelerator,Seed Funding,100000
856,04-12-2015,CaRPM,Car Maintenance & Management mobile app,Gurgaon,GHV Accelerator,Seed Funding,100000
857,04-12-2015,NDTV Wedding portal,Online Wedding Marketplace,New Delhi,CerraCap,Private Equity,20000000
860,07-12-2015,Customfurnish,Custom Made furniture e-tailer,Hyderabad,Agnus Capital,Private Equity,4500000
861,07-12-2015,Faasos,QSR Chain,Pune,"ru-Net, Sequoia Capital,\\xc2\\xa0 Lightbox Ventures",Private Equity,30000000
863,07-12-2015,Leaf Wearables,Smart Safety Wearable Devices,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,250000
864,07-12-2015,Coolshare,Cab Sharing service Mobile app,Mumbai,Gopal Aggarwal,Seed Funding,100000
867,08-12-2015,Yumist,Home Cooked Food Order & Delivery platform,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,2000000
868,09-12-2015,Jigsaw Academy,Online School for Analytics learning,Bangalore,Manipal Global Education Services,Private Equity,3000000
870,09-12-2015,Voxweb,Picture creation & Social mobile app,Mumbai,Undisclosed Investor,Seed Funding,350000
871,09-12-2015,Aye Finance,Nonbanking finance company,New Delhi,"SAIF Partners, Accion",Private Equity,3000000
873,10-12-2015,BlackBuck,Online Freight Services Aggregator,Bangalore,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,25000000
874,10-12-2015,HomeStudio,Online Branded Furniture etailer,Bangalore,Bren Corporation,Private Equity,5000000
875,10-12-2015,PropheSee,Digital Analytics Platform,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,500000
876,10-12-2015,i2e1,Internet Network Infrastructure Services,New Delhi,GrowX Ventures,Seed Funding,500000
877,10-12-2015,Holisol Logistics,Supply Chain & Logistics Solutions,New Delhi,CLSA Capital Partners ARIA IV Funds,Private Equity,10000000
879,10-12-2015,Paynear,Mobile Point of Sale solutions,Hyderabad,Mitesh Majithia,Private Equity,2500000
880,10-12-2015,Chillr,Peer-to-Peer Money Transfer & Recharge App,Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Private Equity,70000000
881,11-12-2015,EureQa,Test Automation SAAS platform,Hyderabad/USA,"Sashi Reddi, Gabriel Investments",Seed Funding,600000
885,11-12-2015,OnlineRTI,Online RTI application services,Bangalore,"LetsVenture, Mohandas Pai",Seed Funding,150000
887,11-12-2015,Weddingz.in,Wedding Venues & Vendors Marketplace,Mumbai,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",Seed Funding,1000000
889,14-12-2015,Capricoast,Modular Furnishings Marketplace,Bangalore,"Accel Partners India, RB Investments",Private Equity,3500000
891,14-12-2015,Cabsguru,Cab search Comparison & Booking platform,New Delhi,Prashanth Ranganathan,Seed Funding,200000
892,14-12-2015,Whoop,Performance Optimization Platform for athletes,Boston,Infosys,Private Equity,3000000
895,15-12-2015,Streamoid,visual search and discovery platform,Bangalore / Palo Alto,Undisclosed,Seed Funding,1000000
896,16-12-2015,Housejoy,Home services marketplace,Bangalore,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Private Equity,22500000
897,16-12-2015,Bluebirch,End to End reverse logistics Solution platform,Bangalore,"Chicago Capital Ventures, Sanjay Mehta, Others",Seed Funding,2000000
898,16-12-2015,MeraDoctor,Virtual Health consultation app,Mumbai,Unilazer,Private Equity,1200000
900,17-12-2015,Rivigo,Logistics Services Provider,Gurgaon,SAIF Partners and others,Private Equity,30000000
901,17-12-2015,Springboard,Data Science & UX design Learning platform,Bangalore,"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",Seed Funding,1700000
903,18-12-2015,Ampere Vehicles,Electric Bike Manufacturers,Coimbatore,Kris Gopalakrishnan & Others,Seed Funding,1200000
906,18-12-2015,CBREX,International Hiring Platform,Mumbai / NY,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding,200000
907,21-12-2015,TruckMandi,Logistics Service Provider Marketplace,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Private Equity,2000000
908,21-12-2015,Peppertap,Hyperlocal\\xc2\\xa0 Grocery Delivery Service,Gurgaon,Innoven Capital,Private Equity,4000000
909,21-12-2015,KOOH Sports,Sports Education Platform,Mumbai,"TCS, HDFC, Faering Capital, Elevate Sports",Private Equity,2000000
913,22-12-2015,LatestOne,Mobile accessories online store,Hyderabad,Palred Technologies Ltd,Private Equity,3000000
915,22-12-2015,Arya.ai,Artificial Intelligence platform,Mumbai,"YourNest Angel Fund, Venture Nursery",Private Equity,750000
916,22-12-2015,Doctor Insta,Medical Consultation & Doctor appointment booking platform,Gurgaon,"Rishi Parti, BrahmaX Ventures",Private Equity,500000
917,22-12-2015,MobieFit,Mobile Fitness App,Goa,Medi Assist,Private Equity,1000000
919,23-12-2015,Mech Mocha,Mobile Game development & Design platform,Bangalore,"Blume Ventures, Flipkart",Seed Funding,1000000
920,23-12-2015,Shotang.com,B2B eCommerce Marketplace,Bangalore,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,5000000
922,24-12-2015,Black White Orange,B2B Merchandize platform,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding,303000
924,24-12-2015,Canvera,Photographer Online search & booking platform,Bangalore,Info Edge (India) Ltd,Private Equity,2200000
925,28-12-2015,Town Essentials,Grocery Delivery platform,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,1000000
926,28-12-2015,Bumper,Mobile Car Servicing appointment app,Bangalore,SAIF Partners,Seed Funding,500000
927,29-12-2015,Hotify,New Curation Mobile App,Bangalore,Mahavir Pratap Sharma,Seed Funding,150000
928,29-12-2015,MobiKwik,Mobile Wallet,Gurgaon,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,6600000
934,04-01-2016,B9 Beverages,Food & Beverage,New Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,6000000
936,05-01-2016,MyChild App,Education,Bhopal,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,100000
938,05-01-2016,360Ride,Consumer Internet,Bangalore,Undisclosed,Seed Funding,150000
939,05-01-2016,Alef\\nMobitech,Consumer Internet,Mumbai,Tata Capital Innovation Fund,Private Equity,5000000
942,06-01-2016,Sensara,Technology,Bangalore,"Lalitesh Katragadda,\\xc2\\xa0 Ganayantrika Systems",Seed Funding,750000
943,06-01-2016,Zebpay,Consumer Internet,Ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,1000000
944,06-01-2016,PlanMy\\nMedicalTrip,Healthcare,Pune,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed Funding,150000
945,06-01-2016,MyCity4Kids,Education,Gurgaon,"SIDBI Venture Capital Limited, YourNest Angel Fund",Private Equity,3000000
946,06-01-2016,Justdakhila.com,Education,New Delhi,Ankur Gupta,Seed Funding,750000
949,07-01-2016,Infurnia,Consumer Internet,Bangalore,Idein Ventures,Seed Funding,160000
950,07-01-2016,Myly,Education,Jaipur,Newbie Promoter Pvt Ltd,Seed Funding,100000
951,07-01-2016,MakeMyTrip,Consumer Internet,Gurgaon,Ctrip.com International Ltd,Private Equity,180000000
952,08-01-2016,Melorra,ECommerce,Bangalore,Lightbox Ventures,Private Equity,5000000
953,08-01-2016,ConfirmTKT,Consumer Internet,Bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,250000
954,08-01-2016,Gyaanzone,Education,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,45000
957,11-01-2016,Koovs,ECommerce,Gurgaon,"Nahata Family, Waheed Alli",Private Equity,5400000
959,11-01-2016,FreshMenu,Consumer Internet,Bangalore,"Zodius Capital, Lightspeed Venture Partners",Private Equity,16500000
960,11-01-2016,SavvyMob,ECommerce,Bangalore,"TV Mohandas Pai, LetsVenture",Seed Funding,1000000
962,12-01-2016,Shopclues,ECommerce,Gurgaon,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,100000000
964,12-01-2016,iBus Networks,Technology,Bangalore,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,2300000
965,12-01-2016,Happy2Refer,Consumer Internet,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,250000
966,13-01-2016,CarTrade,Consumer Internet,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,145000000
967,13-01-2016,Rentomo,Consumer Internet,Bangalore,Shiva Ashok & Other unnamed investors,Seed Funding,100000
968,13-01-2016,Roder,Consumer Internet,New Delhi,Unicorn India Ventures,Seed Funding,240000
970,13-01-2016,Care24,Healthcare,Mumbai,"SAIF Partners, India Quotient",Private Equity,4000000
974,14-01-2016,Orahi,Consumer Internet,Gurgaon,Indian Angel Network,Seed Funding,520000
977,15-01-2016,Fitso,Consumer Internet,Gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,200000
983,18-01-2016,Kartrocket,Consumer Internet,New Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,6000000
984,19-01-2016,Swiggy,Consumer Internet,Bangalore,"Harmony Partners, RB Investments & existing investors",Private Equity,35000000
988,19-01-2016,DailyObjects,ECommerce,New Delhi,"Unilazer Fund,\\xc2\\xa0 Phanindra Sama, Peyush Bansal",Private Equity,1400000
989,19-01-2016,Indus OS,Technology,Mumbai,"Omidyar Network,",Private Equity,5000000
990,19-01-2016,CollegeDunia,Consumer Internet,New Delhi,Umang Kumar,Seed Funding,445000
991,19-01-2016,Villgro,Finance,Chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,3500000
993,20-01-2016,IndustryBuying,ECommerce,New Delhi,Trifecta Capital,Private Equity,1800000
994,20-01-2016,Just Buy Live,ECommerce,Mumbai,Alpha Capital,Private Equity,20000000
995,20-01-2016,IMbesharam,ECommerce,New Delhi / US,Undisclosed US Based Investors,Private Equity,4000000
996,20-01-2016,Moodoo,Consumer Internet,Mumbai / UK,Sa\\xc3\\xafd Business School Seed Fund.,Seed Funding,40000
999,21-01-2016,Fisdom,Consumer Internet,Bangalore,Rob Chandra,Seed Funding,500000
1000,21-01-2016,Easypolicy,Consumer Internet,Noida,Unilazer Ventures,Private Equity,2200000
1001,21-01-2016,Housing.com,Consumer Internet,Mumbai,SoftBank Corp,Private Equity,15000000
1002,21-01-2016,CREO,Technology,Bangalore,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private Equity,3000000
1003,22-01-2016,ShabdaNagari,Consumer Internet,Kanpur,Kanpur Angels & Others,Seed Funding,200000
1005,22-01-2016,SnapBizz,ECommerce,Bangalore,"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",Private Equity,7200000
1008,22-01-2016,Silvan,Technology,Bangalore,The Chennai Angels,Seed Funding,515000
1009,22-01-2016,EPS,Technology,Mumbai,APIS Partners,Private Equity,35000000
1010,22-01-2016,Qubole,Technology,Bangalore,"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",Private Equity,30000000
1012,25-01-2016,SIFTR Labs,Consumer Internet,Mumbai,Venture Catalysts,Seed Funding,150000
1013,25-01-2016,Power2SME,Consumer Internet,Gurgaon,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,21000000
1016,27-01-2016,Buildzar,ECommerce,Gurgaon,Puneet Dalmia,Private Equity,4000000
1017,27-01-2016,Applicate,Technology,Bangalore,Undisclosed investors,Seed Funding,1000000
1019,28-01-2016,Zebi (yet to launch),Technology,Hyderabad,Un disclosed investors,Seed Funding,1000000
1020,28-01-2016,Truce,FMCG,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed Funding,370000
1024,29-01-2016,Qriyo,Consumer Internet,Jodhpur,Idein Ventures,Seed Funding,160000
1026,29-01-2016,Aisle,Consumer Internet,Bangalore,"TermSheet, ah! Ventures",Seed Funding,185000
1027,29-01-2016,FreshMenu,Consumer Internet,Bangalore,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,17000000
1028,29-01-2016,Truebil,ECommerce,Mumbai,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private Equity,5150000
1029,29-01-2016,Rare Media,Technology,New Delhi,Info Edge (India) Ltd,Private Equity,1100000
1035,02-02-2016,Altizone,Technology,Pune,"Wipro Ventures,\\xc2\\xa0 Lumis Partners",Private Equity,4000000
1037,02-02-2016,Strike,Consumer Internet,Bangalore,Multiple investors through Ten Minute Million competition,Seed Funding,22500
1039,02-02-2016,Gamooz,Technology,Gurgaon,Multiple investors through Ten Minute Million competition,Seed Funding,22500
1040,02-02-2016,SoundSurround,Technology,Mumbai,Multiple investors through Ten Minute Million competition,Seed Funding,22500
1041,03-02-2016,Mazkara,Consumer Internet,Pune / Dubai,Dunamis Ventures Pte Ltd.,Seed Funding,1000000
1042,03-02-2016,RoadGods,ECommerce,New Delhi,Green House Ventures (GHV),Seed Funding,100000
1043,03-02-2016,Pindropmusic,Consumer Internet,Noida,Green House Ventures (GHV),Seed Funding,100000
1044,03-02-2016,Woodpie,Consumer Internet,Bangalore,Ingram Content Group,Seed Funding,30000
1045,04-02-2016,Perfumery,ECommerce,New Delhi,Oranda Global & Others,Seed Funding,30000
1047,05-02-2016,ZenDrive,Technology,Bangalore / SFO,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,13500000
1051,05-02-2016,Gingercrush,Ecommerce,Vadodara,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",Private Equity,1000000
1052,05-02-2016,American Vision,Consumer Internet,Pune,Undisclosed investors,Seed Funding,81000
1053,05-02-2016,DawaiLelo,Consumer Internet,Varanasi,Undisclosed investors,Seed Funding,52000
1054,06-02-2016,Heads Up For Tails,Ecommerce,New Delhi,Undisclosed investors,Seed Funding,1000000
1057,08-02-2016,iStyleYou,Consumer Internet,Gurgaon,Green House Ventures (GHV),Seed Funding,100000
1058,08-02-2016,AdUrCup,Consumer Internet,New Delhi,Green House Ventures (GHV),Seed Funding,100000
1062,08-02-2016,Xpressbees,ECommerce,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,12500000
1067,10-02-2016,Capzest,Consumer Internet,Mumbai,Lion Ventures,Seed Funding,200000
1069,10-02-2016,Affimity,Consumer Internet,Bangalore,undisclosed investors,Seed Funding,1200000
1070,10-02-2016,Anandakanda,Technology,Pune,undisclosed investors,Seed Funding,150000
1075,12-02-2016,ActOnMagic,Technology,Bangalore,Jayabalan Subramanian,Seed Funding,125000
1076,12-02-2016,Bonhomia,Food & Beverage,New Delhi,"Alok Rawat, Grey Orange Robotics",Seed Funding,1000000
1077,12-02-2016,iGrenEnergi,Technology,Mumbai,Sunil Mehta,Seed Funding,1000000
1078,12-02-2016,RKSV,Consumer Internet,Mumbai,Kalaari Capital,Private Equity,4000000
1079,15-02-2016,Aasaanjobs,Consumer Internet,Mumbai,"Aspada Advisors, IDG Ventures,\\xc2\\xa0 Inventus Capital",Private Equity,5000000
1080,15-02-2016,Snapdeal,eCommerce,New Delhi,Ontario Teachers\\xe2\\x80\\x99 Pension Plan & Others,Private Equity,200000000
1083,15-02-2016,GoYaNo,Consumer Internet,Gurgaon,Mukesh Kumar Gupta,Seed Funding,50000
1084,15-02-2016,RentSher,Consumer Internet,Bangalore,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",Seed Funding,300000
1085,15-02-2016,Buddy,Finance,Bangalore,"Blume Ventures,\\xc2\\xa0 Tracxn Labs",Seed Funding,500000
1087,16-02-2016,TableHero,Consumer Internet,Bangalore,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Seed Funding,1000000
1088,16-02-2016,BetterPlace,Technology,Bangalore,Unitus Seed Fund,Seed Funding,970000
1090,16-02-2016,icustommadeit,eCommerce,Pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",Private Equity,4000000
1094,17-02-2016,GameZop,Technology,New Delhi,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",Seed Funding,350000
1096,17-02-2016,The Viral Fever,Consumer Internet,Mumbai,Tiger Global,Private Equity,10000000
1097,17-02-2016,Avanti Learning,Education,New Delhi,Michael & Susan Dell Foundation,Private Equity,5000000
1100,18-02-2016,HealthKumbh,Consumer Internet,Ahmedabad,Undisclosed investor,Seed Funding,73000
1103,18-02-2016,Careongo,ECommerce,New Delhi,Farooq Oomerbhoy & Other angel investors,Seed Funding,300000
1104,18-02-2016,Ark Robot,Technology,Bangalore,Qualcomm (Through QPrize Contest),Seed Funding,350000
1105,19-02-2016,Jaypore,ECommerce,New Delhi,Aavishkaar,Private Equity,5000000
1108,19-02-2016,Advantage Club,Consumer Internet,Gurgaon,Purvi Ventures & Others,Seed Funding,400000
1110,22-02-2016,Baby Berry,Consumer Internet,Bangalore,Nitin Bagmane & Other undisclosed investors,Seed Funding,1000000
1111,22-02-2016,Magicpin,Consumer Internet,New Delhi,Lightspeed India,Private Equity,3000000
1112,22-02-2016,First Eat,Consumer Internet,New Delhi,Undisclosed investor,Seed Funding,100000
1114,22-02-2016,Taskbob,Consumer Internet,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,4500000
1115,22-02-2016,Styledotme,Consumer Internet,New Delhi,Indian Angel Network,Seed Funding,37000
1117,23-02-2016,CupoNation,Consumer Internet,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,11000000
1119,24-02-2016,Sayfix,Consumer Internet,Bangalore,Yajnanarayana Kammaje,Seed Funding,160000
1121,24-02-2016,NoBroker,Consumer Internet,Bangalore,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",Private Equity,10000000
1122,24-02-2016,AppilyEver,Consumer Internet,Hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y",Seed Funding,400000
1123,24-02-2016,Pocketin,Consumer Internet,Noida,Swastika Company Ltd,Seed Funding,150000
1125,25-02-2016,OfBusiness,eCommerce,Gurgaon,Matrix Partners India,Private Equity,5000000
1127,25-02-2016,Juspay,Consumer Internet,Bangalore,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Private Equity,5800000
1128,25-02-2016,Funcart,eCommerce,New Delhi,Undisclosed HNIs,Seed Funding,70000
1129,26-02-2016,Freedom Smart Labs,Technology,New Delhi,Kapil Goel,Seed Funding,145000
1130,26-02-2016,EduBridge,Consumer Internet,Mumbai,"Insitor Impact Asia Fund, Acumen Fund",Private Equity,2500000
1132,29-02-2016,Hopscotch,eCommerce,Mumbai,Eduardo Saverin,Private Equity,13000000
1138,02-03-2016,MoMark,Consumer Internet,Noida,YourNest Angel Fund,Private Equity,600000
1140,02-03-2016,Systemantics,Technology,Bangalore,"Nandan Nilekani, Accel Partners",Private Equity,1400000
1142,03-03-2016,Imarticus Learning,Education,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,1000000
1143,03-03-2016,Shouut,Consumer Internet,New Delhi,Undisclosed investor,Seed Funding,500000
1145,04-03-2016,Aahaa,ECommerce,Chennai,"YourNest Angel Fund,",Private Equity,1000000
1147,04-03-2016,FTCash,Consumer Internet,Kolkata,IvyCap Ventures,Seed Funding,150000
1149,04-03-2016,Zappka,Consumer Internet,Gurgaon,"Daman Soni, Rajat Gupta & Others",Seed Funding,100000
1151,04-03-2016,medECUBE,Healthcare,Gurgaon,Artiman Ventures,Private Equity,4000000
1152,07-03-2016,N.O.W,Consumer Internet,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed Funding,500000
1153,07-03-2016,Ninjacart,ECommerce,Bangalore,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity,3000000
1154,07-03-2016,Reach,Consumer Internet,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed Funding,500000
1155,07-03-2016,Vanity Cube,Consumer Internet,New Delhi,Unicorn Ventures,Seed Funding,250000
1157,07-03-2016,Medidaili,Consumer Internet,Bangalore,Undisclosed private investors,Seed Funding,100000
1161,08-03-2016,LoveCycles,Consumer Internet,Bangalore,Prime Venture Partners,Seed Funding,750000
1162,08-03-2016,Kartrocket,ECommerce,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,8000000
1163,08-03-2016,dunzo,Consumer Internet,Bangalore,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,650000
1165,09-03-2016,SmartVizX,Technology,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,500000
1166,09-03-2016,MyGubbi,Real Estate,Bangalore,"Vipul Parekh, ajesh K Murthy,",Seed Funding,2500000
1167,09-03-2016,Nukkad Shops,Consumer Internet,Hyderabad,PurpleTalk Inc,Seed Funding,1000000
1169,09-03-2016,Justride,Consumer Internet,Mumbai,Dheeraj Jain & Other angel investors,Seed Funding,400000
1171,10-03-2016,Big Fish Ventures,Food & Beverage,New Delhi,Undisclosed investors,Private Equity,11100000
1173,10-03-2016,Icertis,Technology,Pune/Seattle,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,15000000
1174,10-03-2016,Supplified,ECommerce,New Delhi,Mohit Goel,Seed Funding,1000000
1176,14-03-2016,PinkBlue,ECommerce,Bangalore,"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash",Seed Funding,223608
1177,14-03-2016,TruckingCube,Logistics,New Delhi,Agarwal Movers Group,Private Equity,14900000
1179,15-03-2016,FlipClass,Consumer Internet,Bangalore,"S Chand and Co Pvt Ltd, Blume Ventures",Private Equity,1000000
1180,15-03-2016,Proximit,Technology,Pune,Funding through 1Crowd platform,Seed Funding,150000
1181,15-03-2016,WithMe,Consumer Internet,Gurgaon,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",Seed Funding,250000
1182,16-03-2016,Gapoon,Consumer Internet,Bangalore,"Chandrashekar Tallapragada, Pankaj Kapoor",Seed Funding,180000
1185,16-03-2016,Wealthy,Consumer Internet,Bangalore,"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal",Seed Funding,250000
1186,17-03-2016,Pramati,Healthcare,Noida,Undisclosed investors,Seed Funding,200000
1187,17-03-2016,Qlivery,Consumer Internet,Gurgaon,Swastika Company Ltd,Seed Funding,230000
1188,17-03-2016,HealthEnablr,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,800000
1189,17-03-2016,Liftiee,Consumer Internet,Mumbai,"Rannvijay Singh, Anita Hassanandani",Seed Funding,108000
1190,18-03-2016,Hello Curry,Food & Beverage,Hyderabad,Sashi Reddi & Other unnamed investors,Private Equity,1500000
1191,19-03-2016,goSporto,Consumer Internet,New Delhi,Naveen Gupta,Seed Funding,30000
1194,21-03-2016,Room On Call,Consumer Internet,Gurgaon,CASHurDRIVE Marketing Pvt Ltd,Private Equity,2000000
1195,22-03-2016,Byju\\xe2\\x80\\x99s,Consumer Internet,Bangalore,"Sequoia India, Sofina",Private Equity,75000000
1196,22-03-2016,BigBasket,eCommerce,Bangalore,Abraaj Group,Private Equity,150000000
1197,22-03-2016,DrivoJoy,Consumer Internet,Bangalore,"Indian Angel Network, Tracxn Labs & Others",Seed Funding,600000
1200,22-03-2016,CreditSeva,Consumer Internet,Hyderabad,"Pix Vine Capital, Infocomm Development Authority of Singapore",Seed Funding,360000
1202,23-03-2016,Endless Robotics,Technology,Hyderabad,"Devidas Desai, Vipul Gautam, Singapore Angel Network",Seed Funding,100000
1203,23-03-2016,SP Robotics,Technology,Chennai,"Indian Angel Network,",Seed Funding,300000
1205,23-03-2016,eKincare,Consumer Internet,Hyderabad,"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu",Private Equity,330000
1207,23-03-2016,Wheelstreet,Consumer Internet,Bangalore,Broadbean Capital services,Private Equity,500000
